monthly_visits,avg_basket_value_usd,discount_usage_rate_pct,premium_brand_share_pct,customer_segment
12.2,27.34,70.0,13.6,Value Hunter
6.6,87.19,9.8,56.9,Premium Buyer
3.2,63.02,36.3,43.9,Routine Shopper
9.9,27.98,82.6,22.6,Value Hunter
4.2,98.52,16.3,62.9,Premium Buyer
8.0,41.94,26.5,23.8,Routine Shopper
10.7,17.17,79.8,5.0,Value Hunter
9.1,22.38,63.3,5.6,Value Hunter
7.7,59.76,15.4,54.3,Premium Buyer
11.7,20.65,73.5,6.8,Value Hunter
8.8,50.14,71.3,29.7,Routine Shopper
10.7,26.86,87.6,8.4,Value Hunter
11.3,29.58,72.3,12.9,Value Hunter
8.0,29.83,43.5,26.7,Routine Shopper
13.7,24.63,73.9,5.4,Value Hunter
4.5,85.81,16.8,66.8,Premium Buyer
5.7,49.16,55.2,30.3,Routine Shopper
4.1,87.45,14.5,70.7,Premium Buyer
10.1,24.64,79.9,16.8,Value Hunter
5.2,48.49,69.6,23.0,Routine Shopper
9.4,26.29,87.5,10.9,Value Hunter
3.1,47.33,40.5,27.1,Routine Shopper
5.8,50.1,45.3,36.0,Routine Shopper
6.5,98.84,7.5,66.3,Premium Buyer
6.7,86.12,18.5,69.0,Premium Buyer
13.6,27.92,78.4,8.4,Value Hunter
10.1,15.84,81.6,10.8,Value Hunter
4.9,50.77,31.7,22.6,Routine Shopper
4.3,41.35,42.7,35.5,Routine Shopper
9.5,64.08,43.6,32.5,Routine Shopper
10.2,23.05,77.1,14.5,Value Hunter
6.8,46.52,56.4,37.5,Routine Shopper
4.7,109.24,4.2,66.3,Premium Buyer
11.8,25.92,83.2,13.4,Value Hunter
5.2,86.01,8.0,82.9,Premium Buyer
5.4,86.97,18.0,69.7,Premium Buyer
1.4,55.71,2.3,79.7,Premium Buyer
4.5,69.36,16.8,63.1,Premium Buyer
11.0,22.37,78.9,18.4,Value Hunter
7.4,40.14,44.5,30.8,Routine Shopper
5.1,70.02,21.4,84.0,Premium Buyer
3.6,84.33,12.0,73.1,Premium Buyer
11.8,24.61,72.1,5.9,Value Hunter
9.3,43.82,22.0,26.5,Routine Shopper
8.2,29.93,40.9,24.2,Routine Shopper
5.9,39.33,50.3,28.8,Routine Shopper
2.9,92.94,10.4,88.4,Premium Buyer
8.4,44.44,46.3,35.4,Routine Shopper
8.4,34.54,15.4,14.7,Routine Shopper
4.9,52.57,51.0,45.2,Routine Shopper
9.2,23.99,91.8,5.7,Value Hunter
5.3,71.34,5.9,73.2,Premium Buyer
14.0,14.75,85.9,14.0,Value Hunter
9.9,23.45,93.2,11.0,Value Hunter
7.2,42.05,51.7,18.6,Routine Shopper
9.1,30.23,78.7,14.5,Value Hunter
11.0,42.24,41.5,26.1,Routine Shopper
4.8,38.83,38.5,34.0,Routine Shopper
9.7,34.1,34.0,33.4,Routine Shopper
10.2,31.83,84.5,14.4,Value Hunter
10.5,36.46,63.1,14.5,Value Hunter
6.9,33.35,35.5,32.3,Routine Shopper
12.1,17.88,82.5,3.4,Value Hunter
12.3,24.02,96.3,12.4,Value Hunter
10.3,22.38,78.9,15.1,Value Hunter
6.3,56.17,46.2,30.0,Routine Shopper
2.6,95.55,16.6,80.3,Premium Buyer
12.4,20.88,77.4,14.7,Value Hunter
5.0,83.18,11.4,69.1,Premium Buyer
11.8,17.3,84.8,6.0,Value Hunter
5.3,60.98,45.9,28.7,Routine Shopper
5.8,46.53,35.2,31.6,Routine Shopper
5.3,20.66,70.7,15.4,Value Hunter
12.0,31.82,82.0,15.2,Value Hunter
10.2,28.53,45.7,14.7,Routine Shopper
13.2,16.83,77.0,12.6,Value Hunter
5.2,53.36,37.5,42.6,Routine Shopper
3.6,64.24,5.2,55.3,Premium Buyer
7.0,25.65,79.8,8.0,Value Hunter
3.7,83.52,19.6,53.9,Premium Buyer
3.5,102.45,5.0,61.4,Premium Buyer
4.9,51.47,14.9,27.3,Routine Shopper
6.0,91.39,22.2,61.5,Premium Buyer
6.1,40.97,37.3,19.9,Routine Shopper
4.3,61.3,16.7,80.9,Premium Buyer
10.0,36.85,71.4,5.5,Value Hunter
6.1,68.68,26.6,88.8,Premium Buyer
9.9,48.15,26.6,46.1,Routine Shopper
5.2,84.35,22.0,70.2,Premium Buyer
4.1,93.73,1.4,65.7,Premium Buyer
6.8,40.38,32.8,25.3,Routine Shopper
12.2,22.68,81.0,12.2,Value Hunter
11.6,16.01,75.5,13.5,Value Hunter
3.8,80.82,3.9,75.1,Premium Buyer
12.4,16.06,78.3,12.3,Value Hunter
3.9,98.82,2.7,68.2,Premium Buyer
5.9,81.09,16.0,69.7,Premium Buyer
10.2,15.76,80.7,9.7,Value Hunter
8.3,26.52,82.1,13.5,Value Hunter
11.0,24.92,86.7,15.5,Value Hunter
9.0,26.88,81.9,8.1,Value Hunter
5.3,94.25,17.9,78.3,Premium Buyer
11.0,28.53,89.6,10.8,Value Hunter
5.5,82.33,18.1,63.7,Premium Buyer
9.2,20.05,74.2,13.5,Value Hunter
9.3,25.76,65.4,9.0,Value Hunter
7.6,49.56,30.3,46.0,Routine Shopper
6.9,45.12,41.5,23.8,Routine Shopper
5.5,57.38,19.3,55.7,Premium Buyer
7.8,105.93,3.3,54.9,Premium Buyer
5.5,76.84,12.7,67.3,Premium Buyer
8.0,25.07,76.5,21.1,Value Hunter
5.5,76.86,15.0,86.4,Premium Buyer
6.4,80.34,11.4,65.1,Premium Buyer
5.7,27.91,82.4,8.3,Value Hunter
5.1,73.13,21.0,64.0,Premium Buyer
3.4,108.32,10.3,61.3,Premium Buyer
5.0,77.1,19.6,45.6,Premium Buyer
9.5,41.32,49.3,23.7,Routine Shopper
4.8,28.8,41.3,33.0,Routine Shopper
6.7,38.95,34.3,37.6,Routine Shopper
5.3,78.79,15.9,63.9,Premium Buyer
13.0,27.35,80.3,21.8,Value Hunter
13.0,23.84,93.6,9.2,Value Hunter
11.1,46.21,22.5,26.9,Routine Shopper
13.4,23.48,66.6,8.3,Value Hunter
9.6,31.49,74.4,9.2,Value Hunter
8.1,48.61,35.8,48.5,Routine Shopper
4.3,65.69,21.7,79.3,Premium Buyer
8.8,52.72,36.1,40.8,Routine Shopper
4.8,86.53,22.7,68.0,Premium Buyer
6.8,38.69,28.6,24.1,Routine Shopper
7.6,61.42,29.7,31.7,Routine Shopper
8.1,79.53,11.7,69.1,Premium Buyer
7.8,44.43,44.2,29.1,Routine Shopper
3.1,88.23,10.8,70.7,Premium Buyer
6.2,39.47,30.4,44.3,Routine Shopper
7.0,49.96,41.9,13.7,Routine Shopper
6.3,39.67,31.3,42.2,Routine Shopper
4.1,84.98,13.5,69.4,Premium Buyer
9.2,49.96,18.4,29.7,Routine Shopper
8.9,39.94,44.7,20.9,Routine Shopper
11.0,18.44,85.2,12.9,Value Hunter
11.0,31.21,78.3,10.5,Value Hunter
3.3,76.16,8.0,76.3,Premium Buyer
8.4,86.17,21.6,77.2,Premium Buyer
2.2,63.71,17.7,56.0,Premium Buyer
7.8,58.94,38.7,38.0,Routine Shopper
4.6,69.56,10.2,43.2,Premium Buyer
4.8,69.81,17.6,83.1,Premium Buyer
